cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,218,1,19373014.35,100000008165763100;100000008346837100;100000006866783100;100000002398779100;100000005910114100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
1,109,2,16720547.00,100000003684369100;100000007138613100;100000008731444100;100000003946524100;100000001072022100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
2,100,5,17365222.61,100000004015047100;100000005514161100;100000003071930100;100000002838861100;100000006788200100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
3,169,7,24217110.56,100000003016635100;100000004156082100;100000004394765100;100000006518161100;100000000706545100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
4,77,0,5769284.00,100000004400305100;100000001126374100;100000004325327100;100000001066017100;100000002645609100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
5,152,3,22630799.00,100000008603629100;100000000437046100;100000008686313100;100000008477350100;100000004299488100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
6,5,0,1189154.00,100000000291906100;100000000291908100;100000004670388100;100000004722630100;100000004691350100,"Сообщество с признаками пропусканием поступлений далее по сети; гипотеза для проверки, не установленная группа."
7,50,1,2848827.00,100000001899164100;100000001253557100;100000003589877100;100000002193259100;100000004662806100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
8,3,0,221000.00,100000005456919100;100000008193577100;100000000307908100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
9,118,0,28432729.91,100000000331309100;100000001330685100;100000008324800100;100000002628576100;100000008011159100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
10,56,3,7927793.80,100000003115284100;100000006889963100;100000000343175100;100000003635170100;100000003390036100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
11,10,0,1260500.00,100000005074393100;100000006424479100;100000005882013100;100000000733451100;100000003270419100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
12,15,0,850450.00,100000002472632100;100000001526235100;100000005505655100;100000002984403100;100000001788284100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
13,15,0,3626010.00,100000008461532100;100000006704530100;100000000791285100;100000003122817100;100000002691583100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
14,24,0,3340669.00,100000008213966100;100000005519998100;100000007382543100;100000004336312100;100000004017410100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
15,1,1,0.00,100000000456947100,Отдельный узел без наблюдаемых связей с другими участниками.
16,64,0,15162553.84,100000005933757100;100000004159526100;100000002748532100;100000002605308100;100000008104567100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
17,7,0,143000.00,100000005911352100;100000000507799100;100000004508696100;100000002217806100;100000004549591100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
18,17,1,21586840.00,100000004603109100;100000004892144100;100000002224132100;100000001965374100;100000000552584100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
19,2,0,34547.00,100000008745676100;100000000572276100,Связная группа переводов без выраженной структурной роли; требуется ручная проверка.
20,2,1,680900.00,100000005183943100;100000000580561100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
21,54,0,16858436.00,100000007442518100;100000005242320100;100000008258083100;100000001584286100;100000002670860100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
22,27,5,2759050.00,100000008733194100;100000003265158100;100000004386258100;100000008636603100;100000004480280100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
23,33,1,1727157.00,100000005612411100;100000008172352100;100000005507142100;100000007322059100;100000002964966100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
24,2,0,66666.00,100000004192865100;100000000607731100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
25,41,0,5410969.00,100000003242289100;100000006225798100;100000004351795100;100000008512552100;100000002217161100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
26,18,0,3422800.00,100000003701161100;100000002267998100;100000003718221100;100000008137435100;100000003104347100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
27,39,0,2090445.00,100000001166289100;100000001697501100;100000002733905100;100000008737958100;100000005342513100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
28,42,0,4121910.00,100000001530983100;100000002939838100;100000007777377100;100000004180097100;100000002448088100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
29,54,0,8837054.53,100000001857829100;100000007908818100;100000003035737100;100000003171587100;100000008343874100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
30,112,0,4050628.00,100000002578405100;100000004292885100;100000001632325100;100000008712827100;100000008718811100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
31,4,1,175000.00,100000006232815100;100000000703894100;100000004463277100;100000005669845100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
32,109,1,3259876.00,100000002527114100;100000001952325100;100000008737422100;100000004792397100;100000006030946100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
33,6,0,252813.00,100000004160650100;100000002886166100;100000003338583100;100000004064431100;100000004007197100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
34,171,1,42116965.62,100000004997515100;100000005527892100;100000008710791100;100000008743913100;100000008547948100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
35,9,0,3404688.00,100000002175422100;100000003557488100;100000001317336100;100000002975437100;100000005042822100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
36,3,1,450000.00,100000000769919100;100000002371751100;100000007018630100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
37,4,1,1404980.00,100000008601794100;100000001872484100;100000000785800100;100000002459163100,"Сообщество с признаками пропусканием поступлений далее по сети; гипотеза для проверки, не установленная группа."
38,70,0,5210649.67,100000007998965100;100000005473151100;100000005704413100;100000005578559100;100000004569484100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
39,33,0,2093760.00,100000002870463100;100000003068941100;100000002692750100;100000003509750100;100000004698193100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
40,2,0,6910.00,100000003888271100;100000000955444100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
41,2,0,10000.00,100000004739664100;100000000979567100,"Сообщество с признаками пропусканием поступлений далее по сети; гипотеза для проверки, не установленная группа."
42,11,0,1868224.00,100000008603331100;100000002032323100;100000002671326100;100000008190411100;100000001046057100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
43,53,16,8692750.00,100000006274203100;100000005382566100;100000007594394100;100000004403675100;100000005386383100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
44,20,0,1691898.19,100000006734214100;100000001689968100;100000008413748100;100000002713074100;100000002570206100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
45,29,0,446070.00,100000001164648100;100000008460102100;100000004891562100;100000002706810100;100000008715513100,"Сообщество с признаками веерным распределением переводов; гипотеза для проверки, не установленная группа."
46,7,0,776000.00,100000004144536100;100000002731501100;100000001330595100;100000003031890100;100000002257794100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
47,5,0,809750.00,100000001380054100;100000003164661100;100000005077484100;100000001782980100;100000005055454100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
48,6,0,2540000.00,100000004479404100;100000004717647100;100000002922000100;100000002659103100;100000001533161100,Связная группа переводов без выраженной структурной роли; требуется ручная проверка.
49,2,0,30000.00,100000006888238100;100000001852140100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
50,2,0,213000.00,100000002214383100;100000003192309100,Связная группа переводов без выраженной структурной роли; требуется ручная проверка.
51,2,0,76950.00,100000008778010100;100000002214664100,Связная группа переводов без выраженной структурной роли; требуется ручная проверка.
52,6,1,275885.00,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100,"Сообщество с признаками узлами с низким наблюдаемым исходящим потоком; гипотеза для проверки, не установленная группа."
53,3,0,1025200.00,100000004135268100;100000004979498100;100000002738256100,"Сообщество с признаками пропусканием поступлений далее по сети; гипотеза для проверки, не установленная группа."
54,2,1,31050.00,100000003148220100;100000004971871100,Связная группа переводов без выраженной структурной роли; требуется ручная проверка.
