rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.994215,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. Достижим от 6 исходных клиентов; связывает части наблюдаемого графа (центральность 0.0016). Кандидат для проверки. Ограничения: неполный входящий поток seed, наблюдаемые исходящие выше входящих."
2,100000003115284100,consolidator,0.979068,"Приоритет по признакам: наблюдаемый входящий поток, достижимость от исходных клиентов. 8 плательщиков; наблюдаемый исходящий поток — 24% входящего. Признаки консолидации."
3,100000008603629100,coordinator,0.974633,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. Достижим от 4 исходных клиентов; связывает части наблюдаемого графа (центральность 0.0035). Кандидат для проверки. Ограничения: наблюдаемые исходящие выше входящих."
4,100000008165763100,distributor,0.969781,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. Переводит средства 17 различным получателям; признаки веерного распределения. Ограничения: наблюдаемые исходящие выше входящих."
5,100000000437046100,coordinator,0.969248,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. Достижим от 4 исходных клиентов; связывает части наблюдаемого графа (центральность 0.0020). Кандидат для проверки. Ограничения: наблюдаемые исходящие выше входящих."
6,100000000331309100,coordinator,0.964575,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. Достижим от 4 исходных клиентов; связывает части наблюдаемого графа (центральность 0.0028). Кандидат для проверки. Ограничения: наблюдаемые исходящие выше входящих."
7,100000004015047100,consolidator,0.957395,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. 9 плательщиков; наблюдаемый исходящий поток — 8% входящего. Признаки консолидации."
8,100000001530983100,distributor,0.946593,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. Переводит средства 11 различным получателям; признаки веерного распределения. Ограничения: наблюдаемые исходящие выше входящих."
9,100000008346837100,coordinator,0.946062,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. Достижим от 6 исходных клиентов; связывает части наблюдаемого графа (центральность 0.0085). Кандидат для проверки. Ограничения: наблюдаемые исходящие выше входящих."
10,100000006889963100,consolidator,0.941551,"Приоритет по признакам: наблюдаемый входящий поток, достижимость от исходных клиентов. 4 плательщиков; наблюдаемый исходящий поток — 31% входящего. Признаки консолидации."
11,100000006866783100,coordinator,0.938363,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. Достижим от 3 исходных клиентов; связывает части наблюдаемого графа (центральность 0.0055). Кандидат для проверки. Ограничения: неполный входящий поток seed, наблюдаемые исходящие выше входящих."
12,100000002398779100,consolidator,0.935765,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. 13 плательщиков; наблюдаемый исходящий поток — 6% входящего. Признаки консолидации."
13,100000004997515100,consolidator,0.933540,"Приоритет по признакам: наблюдаемый входящий поток, достижимость от исходных клиентов. 4 плательщиков; наблюдаемый исходящий поток — 14% входящего. Признаки консолидации."
14,100000008686313100,consolidator,0.933363,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. 6 плательщиков; наблюдаемый исходящий поток — 17% входящего. Признаки консолидации."
15,100000007442518100,distributor,0.932841,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. Переводит средства 9 различным получателям; признаки веерного распределения. Ограничения: наблюдаемые исходящие выше входящих."
16,100000008477350100,coordinator,0.931865,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. Достижим от 3 исходных клиентов; связывает части наблюдаемого графа (центральность 0.0027). Кандидат для проверки. Ограничения: наблюдаемые исходящие выше входящих."
17,100000003016635100,coordinator,0.930352,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. Достижим от 3 исходных клиентов; связывает части наблюдаемого графа (центральность 0.0044). Кандидат для проверки. Ограничения: неполный входящий поток seed, наблюдаемые исходящие выше входящих."
18,100000005514161100,consolidator,0.929446,"Приоритет по признакам: наблюдаемый входящий поток, достижимость от исходных клиентов. 4 плательщиков; наблюдаемый исходящий поток — 12% входящего. Признаки консолидации."
19,100000003701161100,consolidator,0.925663,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. 4 плательщиков; наблюдаемый исходящий поток — 23% входящего. Признаки консолидации."
20,100000001899164100,consolidator,0.925084,"Приоритет по признакам: наблюдаемый входящий поток, достижимость от исходных клиентов. 4 плательщиков; наблюдаемый исходящий поток — 26% входящего. Признаки консолидации."
21,100000004156082100,distributor,0.921494,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. Переводит средства 26 различным получателям; признаки веерного распределения. Ограничения: наблюдаемые исходящие выше входящих."
22,100000003071930100,consolidator,0.921123,"Приоритет по признакам: наблюдаемый входящий поток, достижимость от исходных клиентов. 3 плательщиков; наблюдаемый исходящий поток — 1% входящего. Признаки консолидации."
23,100000005910114100,coordinator,0.921005,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. Достижим от 4 исходных клиентов; связывает части наблюдаемого графа (центральность 0.0053). Кандидат для проверки. Ограничения: наблюдаемые исходящие выше входящих."
24,100000001857829100,distributor,0.919625,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. Переводит средства 16 различным получателям; признаки веерного распределения. Ограничения: наблюдаемые исходящие выше входящих."
25,100000002838861100,consolidator,0.910043,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. 5 плательщиков; наблюдаемый исходящий поток — 2% входящего. Признаки консолидации."
26,100000006734214100,consolidator,0.906795,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. 5 плательщиков; наблюдаемый исходящий поток — 6% входящего. Признаки консолидации."
27,100000008733194100,distributor,0.898751,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. Переводит средства 8 различным получателям; признаки веерного распределения."
28,100000004299488100,consolidator,0.896915,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. 6 плательщиков; наблюдаемый исходящий поток — 20% входящего. Признаки консолидации."
29,100000004394765100,consolidator,0.896068,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. 3 плательщиков; наблюдаемый исходящий поток — 14% входящего. Признаки консолидации."
30,100000007138613100,consolidator,0.894644,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. 3 плательщиков; наблюдаемый исходящий поток — 18% входящего. Признаки консолидации."
31,100000003242289100,distributor,0.893767,"Приоритет по признакам: наблюдаемый входящий поток, положение между ветвями сети. Переводит средства 23 различным получателям; признаки веерного распределения. Ограничения: наблюдаемые исходящие выше входящих."
32,100000006225798100,consolidator,0.889570,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. 3 плательщиков; наблюдаемый исходящий поток — 4% входящего. Признаки консолидации."
33,100000000343175100,distributor,0.888916,"Приоритет по признакам: наблюдаемый входящий поток, число плательщиков. Переводит средства 31 различным получателям; признаки веерного распределения. Ограничения: неполный входящий поток seed, наблюдаемые исходящие выше входящих."
